iter	Passed	Remaining
545	3107	8275
546	3112	8268
547	3118	8263
548	3124	8259
549	3129	8251
550	3135	8246
551	3141	8240
552	3146	8232
553	3151	8226
554	3158	8223
555	3163	8215
556	3170	8213
557	3176	8208
558	3181	8200
559	3188	8198
560	3193	8192
561	3198	8184
562	3205	8182
563	3210	8173
564	3216	8169
565	3222	8165
566	3227	8157
567	3233	8152
568	3239	8147
569	3244	8140
570	3250	8134
571	3256	8129
572	3261	8123
573	3267	8117
574	3272	8109
575	3278	8104
576	3283	8098
577	3289	8092
578	3295	8087
579	3302	8085
580	3306	8076
581	3312	8070
582	3320	8069
583	3325	8064
584	3331	8058
585	3338	8054
586	3342	8046
587	3348	8041
588	3354	8034
589	3360	8029
590	3367	8028
591	3372	8020
592	3377	8013
593	3385	8012
594	3390	8006
595	3395	7998
596	3402	7995
597	3407	7988
598	3413	7982
599	3419	7978
600	3424	7970
601	3430	7967
602	3436	7962
603	3441	7955
604	3450	7955
605	3455	7949
606	3461	7943
607	3468	7941
608	3473	7933
609	3479	7927
610	3485	7924
611	3491	7918
612	3498	7915
613	3503	7908
614	3508	7902
615	3516	7900
616	3521	7893
617	3526	7885
618	3533	7883
619	3538	7877
620	3543	7869
621	3550	7865
622	3555	7859
623	3562	7855
624	3568	7850
625	3573	7842
626	3579	7838
627	3585	7832
628	3591	7827
629	3597	7823
630	3604	7820
631	3610	7814
632	3615	7808
633	3620	7800
634	3626	7794
635	3632	7790
636	3639	7787
637	3646	7785
638	3653	7780
639	3659	7775
640	3666	7772
641	3671	7765
642	3677	7760
643	3682	7753
644	3688	7748
645	3694	7744
646	3700	7739
647	3705	7732
648	3713	7729
649	3717	7721
650	3722	7714
651	3729	7711
652	3736	7706
653	3742	7702
654	3748	7696
655	3752	7688
656	3758	7683
657	3764	7678
658	3769	7671
659	3775	7665
660	3781	7659
661	3786	7652
662	3793	7649
663	3799	7645
664	3804	7637
665	3811	7634
666	3816	7627
667	3822	7621
668	3828	7616
669	3833	7610
670	3840	7606
671	3846	7601
672	3851	7594
673	3857	7588
674	3863	7583
675	3868	7577
676	3875	7574
677	3882	7569
678	3887	7563
679	3894	7559
680	3899	7553
681	3905	7548
682	3911	7542
683	3916	7535
684	3922	7529
685	3929	7526
686	3934	7518
687	3940	7514
688	3945	7507
689	3950	7500
690	3957	7496
691	3962	7490
692	3967	7482
693	3972	7476
694	3978	7471
695	3983	7463
696	3989	7458
697	3995	7452
698	4001	7447
699	4007	7443
700	4013	7438
701	4018	7431
702	4025	7427
703	4030	7420
704	4035	7413
705	4042	7409
706	4048	7403
707	4054	7398
708	4060	7393
709	4065	7386
710	4071	7381
711	4077	7376
712	4082	7369
713	4089	7365
714	4095	7359
715	4100	7352
716	4107	7349
717	4112	7342
718	4117	7335
719	4123	7331
720	4128	7324
721	4133	7316
722	4140	7312
723	4145	7306
724	4150	7299
725	4156	7294
726	4161	7287
727	4168	7283
728	4174	7277
729	4179	7270
730	4185	7265
731	4191	7260
732	4196	7253
733	4202	7248
734	4207	7242
735	4213	7235
736	4219	7230
737	4224	7224
738	4229	7217
739	4236	7213
740	4241	7207
741	4246	7200
742	4253	7195
743	4258	7188
744	4264	7183
745	4270	7179
746	4277	7174
747	4282	7168
748	4289	7164
749	4294	7157
750	4302	7155
751	4308	7149
752	4313	7143
753	4320	7139
754	4325	7133
755	4330	7125
756	4337	7122
757	4342	7115
758	4348	7110
759	4356	7107
760	4361	7101
761	4368	7097
762	4373	7090
763	4379	7084
764	4385	7080
765	4391	7074
766	4397	7069
767	4404	7065
768	4410	7060
769	4417	7055
770	4422	7049
771	4428	7043
772	4434	7039
773	4439	7032
774	4445	7026
775	4452	7022
776	4457	7015
777	4462	7009
778	4468	7004
779	4473	6997
780	4480	6992
781	4486	6987
782	4491	6980
783	4498	6977
784	4505	6972
785	4509	6965
786	4517	6962
787	4523	6956
788	4528	6949
789	4534	6945
790	4540	6939
791	4547	6935
792	4552	6928
793	4558	6923
794	4564	6918
795	4570	6913
796	4576	6907
797	4583	6904
798	4589	6898
799	4595	6893
800	4602	6888
801	4607	6881
802	4613	6877
803	4618	6870
804	4624	6865
805	4631	6861
806	4638	6856
807	4643	6850
808	4649	6844
809	4654	6837
810	4660	6832
811	4666	6828
812	4672	6822
813	4678	6816
814	4684	6810
815	4689	6803
816	4696	6799
817	4701	6794
818	4706	6787
819	4714	6783
820	4719	6777
821	4725	6772
822	4731	6767
823	4737	6761
824	4744	6756
825	4750	6751
826	4755	6744
827	4762	6740
828	4766	6733
829	4772	6727
830	4778	6722
831	4785	6717
832	4791	6712
833	4796	6706
834	4802	6700
835	4808	6694
836	4814	6690
837	4820	6683
838	4827	6680
839	4833	6675
840	4839	6669
841	4846	6665
842	4851	6659
843	4858	6654
844	4863	6647
845	4868	6641
846	4876	6638
847	4882	6632
848	4887	6625
849	4894	6621
850	4898	6614
851	4905	6609
852	4911	6604
853	4917	6598
854	4923	6592
855	4928	6586
856	4933	6579
857	4939	6574
858	4945	6568
859	4950	6561
860	4956	6556
861	4962	6551
862	4967	6544
863	4974	6540
864	4980	6535
865	4986	6529
866	4992	6524
867	4997	6517
868	5002	6511
869	5009	6506
870	5015	6501
871	5021	6496
872	5027	6489
873	5031	6482
874	5037	6476
875	5043	6471
876	5049	6465
877	5055	6460
878	5061	6454
879	5066	6448
880	5074	6445
881	5079	6438
882	5085	6432
883	5091	6427
884	5095	6420
885	5100	6412
886	5106	6407
887	5112	6402
888	5117	6395
889	5124	6391
890	5129	6385
